,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
12334,1990,Engineering,5,3,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
12335,1990,Engineering,102,86,16,39,7.0,1.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,28,74.0
12336,1991,Engineering,53,45,8,46,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46,7.0
12337,1991,Engineering,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12338,1991,Engineering,2,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
12339,1991,Engineering,114,98,16,43,6.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,27,87.0
12340,1992,Engineering,51,45,6,44,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,4.0
12341,1992,Engineering,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12342,1992,Engineering,3,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12343,1992,Engineering,114,96,18,40,5.0,1.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,23,91.0
12344,1993,Engineering,52,43,9,44,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,4.0
12345,1993,Engineering,3,3,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12346,1993,Engineering,108,86,22,44,3.0,1.0,2.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,19,89.0
12347,1994,Engineering,57,50,7,49,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,5.0
12348,1994,Engineering,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12349,1994,Engineering,17,14,3,11,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4,13.0
12350,1995,Engineering,43,38,5,38,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3.0
12351,1995,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12352,1995,Engineering,8,6,2,5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,6.0
12353,1996,Engineering,29,27,2,26,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2.0
12354,1996,Engineering,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
12355,1996,Engineering,5,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5.0
12356,1997,Engineering,18,18,0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0
12357,1997,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12358,1997,Engineering,3,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0
12359,1998,Engineering,8,8,0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
12360,1998,Engineering,3,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0
12361,1999,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
12362,1999,Engineering,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
12363,2000,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
12364,2018,LAS,49,20,29,19,5.0,0.0,4.0,0.0,0.0,2.0,19.0,1.0,0.0,0.0,7.0,10,39.0
